Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	244		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\DecisionLogicIntegrationTests.cs	247		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionIntegrationTests.cs	251		
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	255		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	267		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionIntegrationTests.cs	273		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	279		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	282		
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	287		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	304		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	322		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	325		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	364		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	394		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	424		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	446		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionServiceTests.cs	462		
